Date,Open,High,Low,Close,Adj Close,Volume
2024-09-17,10450.0,10500.0,10350.0,10500.0,10447.890625,89745000
2024-09-18,10500.0,10625.0,10450.0,10625.0,10572.2705078125,65420200
2024-09-19,10700.0,10900.0,10650.0,10900.0,10845.9052734375,140886600
2024-09-20,10900.0,10900.0,10775.0,10775.0,10721.525390625,142194600
2024-09-23,10725.0,10950.0,10725.0,10950.0,10895.6572265625,72553800
2024-09-24,10775.0,10950.0,10775.0,10800.0,10746.4013671875,105191100
2024-09-25,10675.0,10850.0,10525.0,10850.0,10796.1533203125,158369100
2024-09-26,10875.0,10875.0,10675.0,10700.0,10646.8984375,84960100
2024-09-27,10500.0,10750.0,10400.0,10650.0,10597.146484375,93027400
2024-09-30,10475.0,10550.0,10325.0,10325.0,10273.7587890625,144692100
2024-10-01,10400.0,10550.0,10375.0,10550.0,10497.642578125,59797700
2024-10-02,10325.0,10550.0,10325.0,10500.0,10447.890625,86746200
2024-10-03,10450.0,10525.0,10400.0,10450.0,10398.138671875,60887000
2024-10-04,10400.0,10475.0,10350.0,10475.0,10423.0146484375,58500400
2024-10-07,10350.0,10375.0,10250.0,10300.0,10248.8828125,91867900
2024-10-08,10200.0,10500.0,10150.0,10400.0,10348.38671875,99622900
2024-10-09,10400.0,10525.0,10400.0,10425.0,10373.2626953125,56835200
2024-10-10,10425.0,10500.0,10400.0,10500.0,10447.890625,51080000
2024-10-11,10575.0,10575.0,10375.0,10375.0,10323.5107421875,44632100
2024-10-14,10375.0,10500.0,10375.0,10500.0,10447.890625,31738600
2024-10-15,10550.0,10625.0,10450.0,10625.0,10572.2705078125,66635200
2024-10-16,10700.0,10725.0,10475.0,10475.0,10423.0146484375,63255900
2024-10-17,10550.0,10800.0,10500.0,10725.0,10671.7744140625,66993300
2024-10-18,10875.0,10875.0,10725.0,10750.0,10696.6494140625,56299600
2024-10-21,10850.0,10850.0,10675.0,10675.0,10622.0224609375,36472500
2024-10-22,10475.0,10600.0,10475.0,10500.0,10447.890625,94799500
2024-10-23,10475.0,10650.0,10475.0,10650.0,10597.146484375,48903000
2024-10-24,10725.0,10850.0,10700.0,10700.0,10646.8984375,85341200
2024-10-25,10650.0,10750.0,10625.0,10750.0,10696.6494140625,34847500
2024-10-28,10825.0,10825.0,10600.0,10600.0,10547.39453125,39061500
2024-10-29,10525.0,10575.0,10500.0,10500.0,10447.890625,49680100
2024-10-30,10275.0,10400.0,10275.0,10350.0,10298.634765625,114484100
2024-10-31,10325.0,10475.0,10250.0,10250.0,10199.130859375,97553400
2024-11-01,10275.0,10425.0,10275.0,10425.0,10373.2626953125,47710000
2024-11-04,10425.0,10500.0,10300.0,10375.0,10323.5107421875,49275700
2024-11-05,10300.0,10575.0,10300.0,10500.0,10447.890625,50296500
2024-11-06,10475.0,10500.0,10375.0,10450.0,10398.138671875,50324900
2024-11-07,10325.0,10450.0,10175.0,10175.0,10124.50390625,131579100
2024-11-08,10200.0,10225.0,10050.0,10075.0,10025.0,92166100
2024-11-11,9800.0,10050.0,9800.0,10050.0,10000.1240234375,128707600
2024-11-12,10100.0,10225.0,10000.0,10150.0,10099.6279296875,80378500
2024-11-13,10225.0,10250.0,10150.0,10150.0,10099.6279296875,62933100
2024-11-14,10125.0,10175.0,10050.0,10100.0,10049.8759765625,56381400
2024-11-15,10050.0,10275.0,10050.0,10175.0,10124.50390625,63598200
2024-11-18,10075.0,10125.0,10000.0,10000.0,9950.3720703125,65716200
2024-11-19,9900.0,10025.0,9900.0,9925.0,9875.744140625,85295300
2024-11-20,10025.0,10150.0,10000.0,10075.0,10025.0,58584400
2024-11-21,10000.0,10000.0,9850.0,9850.0,9850.0,93181200
2024-11-22,9925.0,9950.0,9850.0,9850.0,9850.0,58396100
2024-11-25,9950.0,10200.0,9900.0,10175.0,10175.0,165369400
